Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases,Avg. People fully vaccinated
Subtropics,Bahamas,Bahamas,,"14,656.84",94637.8
Temperate,Azerbaijan,Azerbaijan,,"376,509.18",2884827.5
Temperate,Austria,Austria,,"681,564.55",4105021.9
Tropical,Australia,Australia,,184.59,11424615.3
Subtropics,Australia,Australia,,"1,023.73",11424615.3
Subtropics,Australia,Australia,,"42,764.25",11424615.3
Subtropics,Australia,Australia,,920.79,11424615.3
Subtropics,Australia,Australia,,"1,880.72",11424615.3
Subtropics,Australia,Australia,,"30,235.11",11424615.3
Subtropics,Australia,Australia,,648.78,11424615.3
Temperate,Australia,Australia,,242.37,11424615.3
Temperate,Armenia,Armenia,,"236,278.13",465338.4
Subtropics,Argentina,Argentina,,"3,945,783.73",18208169.3
Tropical,Antigua and Barbuda,Antigua and Barbuda,,"1,888.87",39848.1
Tropical,Angola,Angola,,"40,540.12",2668315.8
Temperate,Andorra,Andorra,,"13,929.67",34487.5
Subtropics,Algeria,Algeria,,"156,638.32",3729055.8
Temperate,Albania,Albania,,"140,016.82",669467.3
Subtropics,Afghanistan,Afghanistan,,"108,269.53",2080597.2
