﻿Climate,Country Region,Country/Region,Province/State,Avg. Confirmed Cases
Tropical,Congo (Kinshasa),Congo (Kinshasa),,"6,485.61"
Tropical,Congo (Brazzaville),Congo (Brazzaville),,"2,599.12"
Tropical,Comoros,Comoros,,282.01
Tropical,Colombia,Colombia,,"450,268.51"
Tropical,China,China,Macau,38.95
Tropical,China,China,Hong Kong,"2,946.12"
Tropical,China,China,Hainan,163.57
Tropical,China,China,Guangdong,"1,627.03"
Subtropics,China,China,Zhejiang,"1,224.88"
Subtropics,China,China,Yunnan,188.48
Subtropics,China,China,Tibet,0.98
Subtropics,China,China,Tianjin,205.2
Subtropics,China,China,Sichuan,613.96
Subtropics,China,China,Shanxi,184.06
Subtropics,China,China,Shanghai,792.77
Subtropics,China,China,Shandong,767.11
Subtropics,China,China,Shaanxi,339.39
Subtropics,China,China,Qinghai,17.51
Subtropics,China,China,Ningxia,71.61
Subtropics,China,China,Jiangxi,897.66
Subtropics,China,China,Jiangsu,631.18
Subtropics,China,China,Hunan,981.72
Subtropics,China,China,Hubei,"64,261.10"
Subtropics,China,China,Henan,"1,229.30"
Subtropics,China,China,Hebei,331.35
Subtropics,China,China,Guizhou,140.35
Subtropics,China,China,Guangxi,246.66
Subtropics,China,China,Gansu,148.15
Subtropics,China,China,Fujian,368.6
Subtropics,China,China,Chongqing,561.84
Subtropics,China,China,Anhui,951.14
Temperate,China,China,Xinjiang,457.78
Temperate,China,China,Unknown,"3,491.77"
Temperate,China,China,Liaoning,199.38
Temperate,China,China,Jilin,133.4
Temperate,China,China,Inner Mongolia,217.75
Temperate,China,China,Heilongjiang,814.75
Temperate,China,China,Beijing,743.59
Subtropics,Chile,Chile,,"267,963.62"
Tropical,Chad,Chad,,805.52
Tropical,Central African Republic,Central African Republic,,"2,767.97"
Tropical,Canada,Canada,Grand Princess,10.9
Tropical,Canada,Canada,Diamond Princess,0.09
Temperate,Canada,Canada,Saskatchewan,"2,309.98"
Temperate,Canada,Canada,Repatriated Travellers,1.43
Temperate,Canada,Canada,Quebec,"61,234.05"
Temperate,Canada,Canada,Prince Edward Island,37.94
Temperate,Canada,Canada,Ontario,"45,402.94"
Temperate,Canada,Canada,Nova Scotia,851.1
Temperate,Canada,Canada,Newfoundland and Labrador,225.89
Temperate,Canada,Canada,New Brunswick,193.96
Temperate,Canada,Canada,Manitoba,"3,500.28"
Temperate,Canada,Canada,British Columbia,"8,857.77"
Temperate,Canada,Canada,Alberta,"17,785.56"
Polar,Canada,Canada,Yukon,15.75
Polar,Canada,Canada,Nunavut,27.3
Polar,Canada,Canada,Northwest Territories,6.19
Tropical,Cameroon,Cameroon,,"12,266.50"
Tropical,Cambodia,Cambodia,,183.75
Tropical,Cabo Verde,Cabo Verde,,"3,539.33"
Tropical,Burundi,Burundi,,286.41
Tropical,Burma,Burma,,"19,666.16"
Tropical,Burkina Faso,Burkina Faso,,"1,409.44"
Temperate,Bulgaria,Bulgaria,,"32,161.90"
Tropical,Brunei,Brunei,,119.5
Tropical,Brazil,Brazil,,"2,586,516.25"
Tropical,Botswana,Botswana,,"2,707.11"
Temperate,Bosnia and Herzegovina,Bosnia and Herzegovina,,"23,332.28"
Tropical,Bolivia,Bolivia,,"65,589.84"
Subtropics,Bhutan,Bhutan,,154.9
Tropical,Benin,Benin,,"1,339.52"
Tropical,Belize,Belize,,"1,666.37"
Temperate,Belgium,Belgium,,"156,034.88"
Temperate,Belarus,Belarus,,"59,220.17"
Tropical,Barbados,Barbados,,131.1
Subtropics,Bangladesh,Bangladesh,,"199,447.76"
Subtropics,Bahrain,Bahrain,,"37,477.41"
Subtropics,Bahamas,Bahamas,,"2,242.34"
Temperate,Azerbaijan,Azerbaijan,,"37,533.43"
Temperate,Austria,Austria,,"63,106.98"
Tropical,Australia,Australia,Northern Territory,29.33
Subtropics,Australia,Australia,Western Australia,537.8
Subtropics,Australia,Australia,Victoria,"9,553.70"
Subtropics,Australia,Australia,South Australia,385.03
Subtropics,Australia,Australia,Queensland,903.58
Subtropics,Australia,Australia,New South Wales,"3,079.42"
Subtropics,Australia,Australia,Australian Capital Territory,90.19
Temperate,Australia,Australia,Tasmania,178.13
Temperate,Armenia,Armenia,,"42,182.83"
Subtropics,Argentina,Argentina,,"429,960.64"
Tropical,Antigua and Barbuda,Antigua and Barbuda,,66.38
Tropical,Angola,Angola,,"3,893.94"
Temperate,Andorra,Andorra,,"1,979.19"
Subtropics,Algeria,Algeria,,"30,676.45"
Temperate,Albania,Albania,,"10,804.48"
Subtropics,Afghanistan,Afghanistan,,"24,642.76"
Tropical,,Tonga,,0
Tropical,,MS Zaandam,,7.2
Tropical,,Eritrea,,250.37
Tropical,,Diamond Princess,,660.42
Subtropics,,Winter Olympics 2022,,0
Subtropics,,Summer Olympics 2020,,0
Temperate,,"Korea, North",,0
Temperate,,Holy See,,12.84
Polar,,Antarctica,,0
